video_id,NEGATIVE,POSITIVE,negative,neutral,positive,total,POSITIVE_%,NEGATIVE_%
1PZKfIyrYOc,1,1,0,0,0,2,50.0,50.0
2ltcbA2CCTo,2,5,0,1,0,8,62.5,25.0
TE79gztnxZ8,0,1,0,0,0,1,100.0,0.0
YUmB-BnNs18,0,2,0,0,0,2,100.0,0.0
ZYeE4sYoRkw,4,1,1,1,1,8,12.5,50.0
_en7QoZ_utc,7,7,2,1,2,19,36.84210526315789,36.84210526315789
bKRe5wu4Fcw,8,6,1,1,2,18,33.33333333333333,44.44444444444444
fdimmU2hJQ4,5,2,1,2,0,10,20.0,50.0
ssDbeb9vB6g,5,2,1,0,0,8,25.0,62.5
uht9BjwbuuA,2,2,0,0,3,7,28.57142857142857,28.57142857142857
